smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1c(C)cccc1(C))(c1c(C)cccc1(C))c2c(c8c(F)cc(F)cc8(F))cccc2c1cccc(C)n1,3.180224373,-219.8653184,-76.78246913,0,38
B(c1c(C)c(C)c(C)c(C)c1(C))(c1c(C)c(C)c(C)c(C)c1(C))C(Cl)C1CCCC(C)N1(c5ccc(F)cc5),4.044572961,-214.2890484,-78.63771426,0,31
B(c1c(F)cc(F)cc1(F))(c1c(F)cc(F)cc1(F))N(CC)N([Si](C)(C)C)N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),2.619146338,-204.6214056,-71.62741716,0,22
B(C=C(c1ccccc1))(C=C(c1ccccc1))C2C(C(C)(C)C)CCN(CCC1(c8c(F)cc(F)cc8(F)))C2=N1,3.096059982,-238.8939592,-82.55805988,0,39
B(CCc1ccccc1)(CCc1ccccc1)c1c(S(=[O])(=[O])[O]CC)Sc(c8ccccc8)n1,2.581526738,-214.4994241,-92.96811365,0,33
B(C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F))(C(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(F)c(F)c(F)c(F)c1(F))C(=C(C(=O)OCC))C(C)N1(CCCN2CCCCCC12),3.789455776,-201.7206984,-182.9721965,0,78
B1(Sc2ccccc2S1)N1c(C(=O)OCC)nc(C(C)C)n1,2.535330633,-203.8224821,-102.4382558,0,21
B1(C([Si](C)(C)C)=C1([Si](C)(C)C))C1C(c8ccc(C)cc8)Cc2cccc(N)c2N1,3.971770682,-216.8139945,-73.27038374,0,28
B(c1c(C)cc(C)cc1(C))(c1c(C)cc(C)cc1(C))c1c(C)Nc(CCCC)n1,2.569298747,-234.0514412,-64.56961358,0,28
B(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)cccc1c2cccc(CCC)c2N(c4ccc([N+](=O)([O-]))cc4)(c4ccc([N+](=O)([O-]))cc4),4.056052132,-167.5028,-132.7838773,0,52
B(c1c(F)c(Cl)c(F)c(Cl)c1(F))(c1c(F)c(Cl)c(F)c(Cl)c1(F))c1c(N)n(C(=O)OCC)nn1,2.643560977,-205.1481863,-114.8447666,0,33
B1(ccocc1)c1c(CCCC)n(C(C)(C)C)nn1,2.583858166,-229.309784,-55.54491058,0,18
B(CC(c1c(F)c(F)c(F)c(F)c1(F)))(CC(c1c(F)c(F)c(F)c(F)c1(F)))c2c(CC(C)(C)C)ccc(c23)ccc(c13)ccc(c8c(C)cc(C)cc8(C))c1N1(C(C)(C)CCCC1(C)(C)),3.771447189,-219.3295631,-90.05545118,0,55
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))N1C(c8ccccc8)CCC(C(C)C)N1([Si](C)(C)C),2.615845244,-209.632848,-82.88155097,0,37
B(c1cc([N+](=O)([O-]))ccc1)(c1cc([N+](=O)([O-]))ccc1)c1c(CC(C)(C)C)nnN1(C=C(C(=O)([N+](=O)([O-])))),2.546546842,-156.3155345,-126.5563554,0,28
B(c1cc(F)cc(Cl)c1)(c1cc(F)cc(Cl)c1)C2C(Br)CCN(CCC1([O][H]))C2=N1,3.151590257,-219.9979643,-115.4514983,0,28
B(c1c(F)cccc1)(c1c(F)cccc1)c1onc(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)n1,2.609528082,-191.2642936,-110.5759372,0,33
B(c1c(F)cc(F)cc1(F))(c1c(F)cc(F)cc1(F))C(c1c(N)cccc1)=C(c1ccccc1([Si](C)(C)C))N1(C(C(=O)[OH])Cc2ccccc21),2.948802938,-204.7302919,-91.85960257,0,22
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))C2N=C(c8ccc(C)cc8)C(C12)=C(Cl)CN1(CCCCC),2.575029611,-223.7519502,-110.1692518,0,24
B(c1cc(Cl)cc(Cl)c1)(c1cc(Cl)cc(Cl)c1)N1C(c8ccc(C)cc8)COC(CC(C)(C)C)N1(c4ccc([N+](=O)([O-]))cc4),2.5544011,-182.3482551,-97.52563326,0,34
B(c1cc(Cl)ccc1)(c1cc(Cl)ccc1)N1C(S(=[O])(=[O])[O]CC)CC(F)N1(c7c(C)cc(C)cc7(C)),2.614852596,-202.3111363,-91.4405966,0,26
B(c1c(Cl)cc(Cl)cc1(Cl))(c1c(Cl)cc(Cl)cc1(Cl))N2C(CCCC)CCN(CCC1(C(F)(F)F))C2C1N(C=CC(C)C)(C=CC(C)C),3.307807227,-208.6486349,-86.85120797,0,27
B(CC)(CC)N2C(Cl)CCN(CCC1(CCCC))C2C1n1(C(C)(C)CCc2ccccc12),3.538835235,-217.5571409,-69.05164393,0,20
B(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)N1c(c8ccc(C(F)(F)F)cc8)c(CCC)nn1,2.486260153,-185.9918813,-132.7095042,0,46
B(c1c(Br)cc(Br)cc1(Br))(c1c(Br)cc(Br)cc1(Br))C1C(N)N=NN1(Cl),2.655022693,-171.082669,-121.1817285,0,24
B(CC(C)(C)C)(CC(C)(C)C)N1C(c8c(F)cc(F)cc8(F))COC(Cl)N1(c6ccc(OC)cc6),2.65626992,-190.843684,-61.30725713,0,26
B(c1c(C)cc(C)cc1(C))(c1c(C)cc(C)cc1(C))c1c(C(=O)OCC)cccc1C([O][H])N(c6ccc(Cl)cc6)(c6ccc(Cl)cc6),3.775491542,-202.7065047,-81.40145852,0,32
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)c1c(Br)cccc1CC(C(=O)OCC)N1(CCNCC1),4.297483965,-209.6149894,-97.49975347,0,29
B(Br)(Br)c1c(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)cc2ccccc2c1c3c4ccccc4cc(CCCC)c3N(c4ccccc4)(c4ccccc4),3.689803249,-191.6917257,-118.552927,0,41
B(c1c(F)cc(F)cc1(F))(c1c(F)cc(F)cc1(F))C(Br)c1cc(=O)cc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)N1(C),3.588199773,-156.0251181,-127.4774744,0,40
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))c1c(N)ccc(c14)c(c23)cccc2cccc3c(c45)ccc(c7ccc(N(C)C)cc7)c5n1(nccc1),2.825721023,-203.2975255,-97.15189977,0,21
B(c1cc(F)cc(F)c1)(c1cc(F)cc(F)c1)c1c(C(F)(F)F)cc2cccc(c8c(C)cc(C)cc8(C))N12,2.69426866,-149.7854056,-100.2655977,0,38
B1(cc1)Oc1c(C)ccc(C(C)C)n1,2.89613792,-218.1018504,-61.23358946,0,13
B(c1ccc(C)cc1)(c1ccc(C)cc1)c1c2c(F)cccc2c(Cl)N1([Si](C)(C)C),2.63059092,-191.4236566,-80.18818544,0,25
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)N1c(c8ccc([N+](=O)([O-]))cc8)cc(Br)n1,2.480769915,-198.1319401,-114.1062106,0,29
